Product_Name,Brand,Category,Usage_Frequency,Price_USD,Rating,Number_of_Reviews,Skin_Type,Gender_Target,Country_of_Origin
Ultra Face Mask,Drunk Elephant,Blush,Weekly,67.85,1.4,686,Sensitive,Female,Australia
Ultra Lipstick,Laura Mercier,Makeup Remover,Occasional,116.43,4.2,5483,Dry,Unisex,UK
Ultra Serum,Natasha Denona,Highlighter,Daily,90.84,1.6,5039,Sensitive,Male,Italy
Divine Serum,Ilia Beauty,Face Mask,Occasional,55.17,3.2,6202,Normal,Male,South Korea
Super Foundation,Charlotte Tilbury,Highlighter,Occasional,140.56,1.7,297,Oily,Female,Germany
Super Eye Shadow,Danessa Myricks,Foundation,Weekly,135.82,3.2,9405,Sensitive,Female,UK
Super Lip Gloss,Bourjois,Powder,Monthly,148.99,2.5,2423,Normal,Female,Germany
Ultra Cleanser,Bourjois,Lip Gloss,Daily,21.43,4.3,8032,Sensitive,Male,Italy
Magic Highlighter,IT Cosmetics,CC Cream,Occasional,113.09,3.3,2468,Combination,Unisex,Germany
Perfect Bronzer,Fenty Beauty,Face Mask,Weekly,133.57,4.4,4127,Dry,Female,Japan
Ultra Moisturizer,Sisley,Powder,Weekly,104.91,4,8876,Combination,Female,UK
Divine CC Cream,Juvia’s Place,Eye Shadow,Daily,101.88,4.7,7196,Oily,Male,Italy
Ultra Setting Spray,NARS,Concealer,Occasional,34.2,1.9,4799,Oily,Unisex,Australia
Divine Primer,ColourPop,Eyeliner,Occasional,96,2.2,3557,Normal,Male,Germany
Divine Exfoliator,Huda Beauty,Lipstick,Monthly,26.21,4.9,4167,Sensitive,Unisex,USA
Perfect Blush,Tatcha,Setting Spray,Daily,104.06,3.2,2802,Dry,Unisex,UK
Perfect Highlighter,Kiehl’s,Cleanser,Occasional,131.95,4,4860,Combination,Female,USA
Super Cleanser,Huda Beauty,Bronzer,Monthly,90.45,1.5,9690,Sensitive,Unisex,South Korea
Ultra Face Oil,Tarte,Primer,Weekly,65.13,2.9,2612,Sensitive,Male,Australia
Divine Lip Gloss,Glossier,Face Oil,Occasional,55.14,3.8,9593,Sensitive,Male,France
Perfect Blush,Make Up For Ever,Contour,Monthly,35.33,3.4,4230,Normal,Unisex,South Korea
Divine Foundation,Anastasia Beverly Hills,Mascara,Daily,145.37,2.3,6045,Combination,Male,France
Divine Cleanser,Fenty Beauty,Face Mask,Monthly,119.26,4.6,9425,Sensitive,Male,Japan
Perfect Eyeliner,E.l.f.,Makeup Remover,Occasional,148.69,3.7,59,Combination,Unisex,Australia
Super Serum,Hourglass,Foundation,Weekly,96.3,3.2,7512,Normal,Male,Australia
Divine Setting Spray,Pat McGrath Labs,Highlighter,Daily,105.54,4.9,1098,Dry,Female,Japan
Magic Eye Shadow,Laura Mercier,Contour,Occasional,34.06,3,4490,Oily,Unisex,Japan
Ultra Exfoliator,Too Faced,Bronzer,Monthly,62.56,2.3,3254,Combination,Female,France
Magic Lip Liner,Perricone MD,Lip Gloss,Daily,120.23,1.6,3813,Oily,Male,Germany
Super Makeup Remover,RMS Beauty,Eyeliner,Monthly,62.98,3.3,1926,Dry,Female,UK
Perfect BB Cream,Sisley,Powder,Weekly,74.95,1.9,1270,Dry,Unisex,France
Magic BB Cream,Juvia’s Place,Highlighter,Occasional,46.66,4.6,5398,Sensitive,Male,Italy
Super Lip Liner,ColourPop,Powder,Monthly,27.45,1.2,9692,Oily,Female,Australia
Ultra Lip Gloss,Urban Decay,Eye Shadow,Daily,134.54,1,4973,Dry,Female,France
Super Primer,Rare Beauty,Highlighter,Weekly,111.7,1.7,9892,Combination,Unisex,USA
Super Cleanser,Fenty Beauty,Makeup Remover,Monthly,148.76,2.3,4487,Sensitive,Unisex,USA
Divine Eyeliner,Fenty Beauty,Eye Shadow,Occasional,74.51,4.6,4884,Oily,Male,South Korea
Super Contour,Becca,Cleanser,Monthly,63.79,2,7155,Dry,Female,France
Perfect Eyeliner,Patrick Ta,Bronzer,Daily,135.46,4,5148,Dry,Female,USA
Divine Cleanser,Shiseido,Powder,Weekly,74.45,4,69,Oily,Female,Australia
Super Foundation,Rare Beauty,Concealer,Monthly,25.46,2.8,6843,Dry,Male,South Korea
Magic Makeup Remover,Kylie Cosmetics,Mascara,Occasional,58.41,1.4,4149,Oily,Unisex,UK
Perfect Face Mask,RMS Beauty,Blush,Weekly,142.53,2.5,734,Oily,Unisex,France
Perfect Contour,Pat McGrath Labs,Serum,Occasional,99.2,3.1,4405,Oily,Male,Japan
Divine CC Cream,Fenty Beauty,Mascara,Occasional,132.98,1.4,7747,Dry,Unisex,South Korea
Perfect Lip Liner,Bite Beauty,Face Oil,Weekly,72.88,1.1,3358,Sensitive,Female,Australia
Ultra Moisturizer,Hourglass,Contour,Daily,79.42,4.7,3975,Dry,Female,France
Magic Setting Spray,Drunk Elephant,Cleanser,Daily,70.15,3,786,Dry,Unisex,Japan
Magic CC Cream,Urban Decay,Contour,Weekly,111.62,4.9,2705,Normal,Male,South Korea
Divine Setting Spray,Laura Mercier,BB Cream,Monthly,45.83,2.1,6947,Oily,Female,Japan
Super Exfoliator,Hourglass,Exfoliator,Occasional,19.74,1.3,5980,Normal,Unisex,South Korea
Perfect Eye Shadow,Laura Mercier,Eyeliner,Weekly,112.67,3.3,1492,Dry,Unisex,Germany
Super Highlighter,Tarte,Exfoliator,Occasional,148.7,3.5,5380,Normal,Unisex,Australia
Ultra Serum,Anastasia Beverly Hills,Concealer,Occasional,49.32,2.5,3274,Dry,Female,Australia
Ultra Cleanser,Laura Mercier,CC Cream,Weekly,42.84,1.1,4441,Sensitive,Male,South Korea
Perfect Serum,E.l.f.,Concealer,Occasional,133.56,1.3,7450,Normal,Male,Australia
Divine Cleanser,Becca,Face Mask,Occasional,49.67,1.9,8956,Oily,Female,Germany
Divine Primer,Tarte,Bronzer,Occasional,31.81,3.1,6868,Sensitive,Male,Japan
Super Eyeliner,E.l.f.,Primer,Occasional,28.72,2.6,4597,Sensitive,Unisex,Japan
Super Blush,Yves Saint Laurent,Face Mask,Weekly,110.51,4.2,2973,Normal,Male,UK
Magic Primer,Bourjois,Contour,Occasional,142.17,3.9,8901,Oily,Unisex,Italy
Perfect Mascara,Rare Beauty,Exfoliator,Weekly,97.15,1.2,764,Normal,Female,Australia
Ultra Concealer,Perricone MD,Makeup Remover,Daily,110.12,2.3,1532,Oily,Male,Germany
Ultra Face Oil,Laura Mercier,Exfoliator,Monthly,13.9,3.6,262,Dry,Male,USA
Magic Contour,Kylie Cosmetics,Powder,Occasional,107.38,4.9,5290,Normal,Male,Australia
Magic Mascara,Bourjois,Cleanser,Daily,97.75,2.9,3341,Combination,Male,UK
Super Eye Shadow,Bourjois,Eye Shadow,Daily,57.24,2.5,7063,Combination,Female,Italy
Ultra Eyeliner,Glossier,Lip Liner,Daily,94.09,2.5,9321,Oily,Unisex,France
Super BB Cream,Bobby Brown,Foundation,Occasional,22.93,4,8824,Dry,Unisex,Germany
Perfect Concealer,Becca,Lipstick,Daily,38.7,3.5,1145,Oily,Male,UK
Magic Setting Spray,Farsali,Lip Liner,Daily,103.44,4.5,7547,Combination,Female,Germany
Divine Makeup Remover,Tatcha,Contour,Weekly,84.37,2.4,3721,Dry,Unisex,France
Super Bronzer,Anastasia Beverly Hills,Cleanser,Weekly,143.23,4.8,2308,Normal,Unisex,Italy
Magic Lipstick,RMS Beauty,Powder,Monthly,114.37,2.8,9401,Normal,Male,Italy
Divine Contour,Morphe,Makeup Remover,Monthly,108.92,3.6,8901,Combination,Unisex,Italy
Ultra Blush,RMS Beauty,Lipstick,Occasional,15.36,1.5,2461,Combination,Female,South Korea
Divine Setting Spray,RMS Beauty,Powder,Weekly,144.46,1.4,9314,Oily,Male,UK
Divine Setting Spray,Huda Beauty,Face Mask,Occasional,53.25,3.6,6115,Sensitive,Male,Germany
Ultra Makeup Remover,Pat McGrath Labs,Serum,Occasional,39.87,3,7793,Normal,Female,France
Perfect Eyeliner,Sisley,Serum,Weekly,17.32,2.6,1402,Oily,Female,Italy
Super Mascara,Too Faced,Foundation,Weekly,104.76,3.3,1435,Combination,Male,UK
Magic Makeup Remover,Too Faced,Blush,Monthly,34.46,2,5485,Oily,Female,Italy
Ultra Face Mask,Tatcha,Foundation,Monthly,132.75,3.7,9541,Oily,Female,Italy
Perfect BB Cream,Fenty Beauty,Cleanser,Daily,86.04,4.2,7546,Sensitive,Female,Germany
Perfect BB Cream,Natasha Denona,Powder,Occasional,15.83,3.5,7966,Oily,Female,Italy
Magic Lipstick,Danessa Myricks,Bronzer,Monthly,15.17,3.3,9458,Sensitive,Female,Australia
Divine Concealer,Perricone MD,Primer,Occasional,114.25,4.6,8534,Oily,Female,France
